date	path	title
2024-02-01	index.gmi	Siva Mahadevan
2024-02-02	about/index.gmi	About Me
2024-06-04	articles/array-language-io-idioms.gmi	I/O Idioms in the Iversonian Array Languages
2024-02-08	articles/hello-world.gmi	Hello, World!
2024-02-09	articles/impressed-by-poudriere.gmi	I’m Impressed By Poudriere
2024-02-04	articles/index.gmi	Articles
2024-02-07	notes/recipes/garlic-chili-noodles.gmi	Garlic Chili Noodles
2024-02-04	notes/index.gmi	A Braindump of Notes
2024-02-06	notes/recipes/instant-pot-semiya-upma.gmi	Instant Pot Semiya Upma
2024-02-05	notes/recipes/instant-pot-vegetable-pulao.gmi	Instant Pot Vegetable Pulao
2024-02-04	notes/recipes/instant-pot-ven-pongal.gmi	Instant Pot Ven Pongal
2024-02-03	notes/recipes/jasmine-rice.gmi	Instant Pot Jasmine Rice
2025-04-07	thoughts/index.gmi	Stream of Consciousness
